diet,gender,age_group,participants,ghgs_median,land_median,eut_median,bio_median,water_use_median,relative_ghgs,relative_land,relative_eut,relative_bio,relative_water_use,relative_overall
vegetarian,male,All,3641,4.69942613,6.722553076,18.60808795,258.6548323,586.7892513,41.46115584,28.00771033,45.1660792,61.73337415,61.20520068,47.51470404
vegetarian,All,20-29,4398,4.405122993,6.30929275,17.66751551,246.5621465,554.9472217,38.86463706,26.28597226,42.88309507,58.84720229,57.88390976,44.95296329
vegetarian,All,30-39,4855,4.478389769,6.396931841,17.79717888,252.6463863,559.5777694,39.5110405,26.65109698,43.19781769,60.29933311,58.36690021,45.6052377
vegetarian,All,40-49,3657,4.445367492,6.394770439,17.59746891,249.5347188,554.4841536,39.21969817,26.64209208,42.71307599,59.55666871,57.83560933,45.19342885
vegetarian,All,50-59,1629,4.392601442,6.365513893,17.28277344,245.6578003,554.8164465,38.75416443,26.52020254,41.94923821,58.6313612,57.87026922,44.74504712
vegetarian,All,60-69,765,4.464210703,6.521915776,17.47414781,252.1438763,564.9995659,39.38594427,27.17180895,42.41374752,60.17939862,58.93242206,45.61666428
vegetarian,All,70-79,447,4.522579435,6.706881081,17.76322764,257.660539,578.3991983,39.90090823,27.94241717,43.11541027,61.4960653,60.33007409,46.55697501
vegetarian,All,All,15751,4.441958232,6.383576448,17.64475298,249.6202067,557.4072505,39.18961963,26.59545533,42.82784523,59.57707218,58.14050368,45.26609921
fish,female,20-29,1329,4.902947125,6.489030807,20.98546418,248.1352117,759.2372106,43.25674012,27.03480256,50.93651426,59.22264712,79.19242852,51.92862652
fish,female,30-39,2024,4.942664484,6.515886259,20.94844235,249.8276841,759.6296132,43.60715048,27.14668859,50.84665382,59.626591,79.23335818,52.09208841
fish,female,40-49,1689,4.927040173,6.540681895,20.71379812,252.8469224,748.4887549,43.46930344,27.24999294,50.2771187,60.34719523,78.07130814,51.88298369
fish,female,50-59,946,4.944320334,6.566172011,20.98928406,246.7899116,788.9322758,43.62175938,27.35619066,50.94578599,58.90156319,82.28977978,52.6230158
fish,female,60-69,492,5.103822519,6.866635217,21.56932183,258.6457589,819.8566043,45.02898332,28.60798984,52.35367012,61.73120859,85.51534965,54.6474403
fish,female,70-79,195,4.990762891,6.87472761,21.03188871,259.346574,798.6883515,44.03150348,28.64170461,51.04919721,61.89847275,83.30738971,53.78565355
fish,female,All,6675,4.944321644,6.560276043,20.9504302,250.7521996,766.4655742,43.62177095,27.33162669,50.8514788,59.84724593,79.94638481,52.31970143
fish,male,20-29,163,5.659688871,7.381889374,24.16296423,273.6123087,860.979744,49.93316967,30.75465778,58.64903257,65.30328806,89.8047091,58.88897144
fish,male,30-39,412,5.327205953,6.977105922,22.64406376,262.3608382,818.7127749,46.99980596,29.06823633,54.96231425,62.61788979,85.39604224,55.80885771
fish,male,40-49,432,5.201802609,6.89094156,21.8373651,258.0881296,782.1927529,45.89342245,28.70925568,53.00427236,61.59811872,81.58681214,54.15837627
fish,male,50-59,214,5.142355789,6.693609079,21.62109527,253.0405656,792.1768307,45.36894695,27.88712295,52.47933608,60.39341223,82.62820389,53.75140442
fish,male,60-69,159,5.153826681,7.048903699,21.62918784,259.6548955,799.0613245,45.47015003,29.36736247,52.49897859,61.9720601,83.34629276,54.53096879
fish,male,70-79,68,5.303953642,7.391856969,22.63450994,265.8995933,854.7060663,46.79466012,30.79618508,54.93912494,63.46248757,89.15033157,57.02855786
fish,male,All,1448,5.279770922,6.982428637,22.3112991,260.8442855,808.1859362,46.58130566,29.090412,54.15461841,62.25593285,84.29803768,55.27606132
fish,All,20-29,1492,4.985620654,6.586575007,21.33260393,250.9185674,770.3525142,43.98613558,27.44119425,51.77910172,59.88695307,80.35181306,52.68903954
fish,All,30-39,2436,5.007701875,6.593892212,21.23522232,251.947413,769.6223318,44.18094936,27.47167942,51.54273432,60.13250853,80.27565121,52.72070457
fish,All,40-49,2121,4.983003102,6.612021912,20.94264345,253.9144384,755.3535013,43.96304196,27.54721194,50.83257857,60.60198021,78.78733725,52.34642999
fish,All,50-59,1160,4.980854461,6.589681953,21.10584234,247.9430495,789.5308403,43.94408537,27.45413851,51.22869954,59.17678362,82.3522132,52.83118405
fish,All,60-69,651,5.116035517,6.911152404,21.58394348,258.8922301,814.7775728,45.13673372,28.79345873,52.38916021,61.79003408,84.98557999,54.61899334
fish,All,70-79,263,5.071739967,7.00843406,21.44625466,261.0408908,813.1720192,44.74593181,29.1987566,52.05495799,62.30285681,84.81811232,54.62412311
fish,All,All,8123,5.004118585,6.635528653,21.19301769,252.5512074,773.9026152,44.14933543,27.64514646,51.44029403,60.27661668,80.72210725,52.84669997
meat low,female,20-29,764,5.386157689,8.05425951,22.89732592,258.6102002,742.8158816,47.51991353,33.55590721,55.57703935,61.72272175,77.47959766,55.1710359
meat low,female,30-39,1483,5.489000438,8.02911643,23.11793722,259.5453969,761.7751712,48.42725394,33.45115533,56.11251335,61.94592598,79.45715114,55.87879995
meat low,female,40-49,2093,5.604987137,8.371516718,23.29449122,264.7954058,756.5947247,49.45055817,34.87767409,56.54105022,63.19895018,78.91680336,56.5970072
meat low,female,50-59,1698,5.743810547,8.58914802,23.68441199,265.9874303,789.6431719,50.67534155,35.78437641,57.487477,63.48345169,82.36392997,57.95891532
meat low,female,60-69,1047,5.861660341,8.773431484,24.15851529,274.4858945,803.4821626,51.71508311,36.55214392,58.63823397,65.51178756,83.80740939,59.24493159
meat low,female,70-79,381,5.836041362,8.74388245,23.97036851,273.3049905,809.8738491,51.48905711,36.42903582,58.18155878,65.22994017,84.47409586,59.16073755
meat low,female,All,7466,5.638913829,8.395900581,23.46311753,265.1839526,773.0241813,49.74987979,34.9792629,56.9503448,63.29168499,80.63048198,57.12033089
meat low,male,20-29,131,5.842741221,8.78110448,24.82010731,277.0131677,749.0094254,51.54816729,36.5841114,60.2440689,66.11497404,78.12561681,58.52338769
meat low,male,30-39,370,5.923054206,8.586602548,24.93859652,276.5506401,818.5919674,52.25673661,35.77377138,60.53166927,66.00458218,85.38344138,59.99004017
meat low,male,40-49,448,5.898524815,8.67402043,24.22462746,274.409162,772.6229785,52.04032361,36.13797449,58.79870332,65.49347375,80.58863441,58.61182192
meat low,male,50-59,410,5.932798637,8.887673871,24.39007567,280.0500051,772.4244996,52.34270782,37.02810412,59.2002839,66.83977868,80.56793203,59.19576131
meat low,male,60-69,364,5.92172459,9.08340608,24.42084533,275.3900345,794.3768013,52.24500594,37.84356976,59.27496889,65.72757944,82.85767238,59.58975928
meat low,male,70-79,143,6.126166528,9.37714445,25.0638299,291.4675388,816.3789792,54.04871534,39.06735172,60.83563929,69.5648114,85.1526151,61.73382657
meat low,male,All,1866,5.92897389,8.844890964,24.54694227,277.7546083,787.6333074,52.30896361,36.84986064,59.58103496,66.29193433,82.15429055,59.43721682
